domain,flow,monitoredPointType,insightId,insightName,description,category,unit,type,format,restName,physicalTarget,expression,translatedExpression
WiFi,wc_streaming,meshRouter,wifi_packets,Wifi Packets,Wifi Packets,KPI,,integer,,wifi_packets,wifi_packets,sum({radio_interface.tx_packets} + {radio_interface.rx_packets}),sum(radio_interface.tx_packets + radio_interface.rx_packets)
WiFi,wc_streaming,meshRouter,wifi_throughput,Wifi Throughput,Wifi Throughput,KPI,Kbps,bigint,,wifi_throughput,wifi_throughput,sum({radio_interface.dl_throughput} + {radio_interface.ul_throughput}),sum(radio_interface.dl_throughput + radio_interface.ul_throughput)
WiFi,wc_streaming,meshRouter,wifi_packetssend,Wifi Packetssend,Wifi Packetssend,KPI,,integer,,wifi_packetssend,wifi_packetssend,sum({radio_interface.tx_packets}),sum(radio_interface.tx_packets)
WiFi,wc_streaming,meshRouter,wifi_packetsreceived,Wifi Packetsreceived,Wifi Packetsreceived,KPI,,integer,,wifi_packetsreceived,wifi_packetsreceived,sum({radio_interface.rx_packets}),sum(radio_interface.rx_packets)
WiFi,wc_streaming,meshRouter,wifi_avg_errorrate,Wifi Avg Errorrate,Wifi Avg Errorrate,KPI,,double,#.##,wifi_avg_errorrate,wifi_avg_errorrate,avg({radio_interface.tx_per} + {radio_interface.rx_per}),avg(radio_interface.tx_per + radio_interface.rx_per)
WiFi,wc_streaming,meshRouter,wifi_avg_txpower,Wifi Avg Txpower,Wifi Avg Txpower,KPI,dBm,double,#.##,wifi_avg_txpower,wifi_avg_txpower,avg({radio_interface.tx_power}),avg(radio_interface.tx_power)
WiFi,wc_streaming,meshRouter,wifi_min_txpower,Wifi Min Txpower,Wifi Min Txpower,KPI,dBm,integer,,wifi_min_txpower,wifi_min_txpower,min({radio_interface.tx_power}),min(radio_interface.tx_power)
WiFi,wc_streaming,meshRouter,wifi_max_txpower,Wifi Max Txpower,Wifi Max Txpower,KPI,dBm,integer,,wifi_max_txpower,wifi_max_txpower,max({radio_interface.tx_power}),max(radio_interface.tx_power)
WiFi,wc_streaming,meshRouter,wifi_avg_retransmissionrate,Wifi Avg Retransmissionrate,Wifi Avg Retransmissionrate,KPI,,double,#.##,wifi_avg_retransmissionrate,wifi_avg_retransmissionrate,avg({radio_interface.tx_prr}),avg(radio_interface.tx_prr)
WiFi,wc_streaming,meshRouter,wifi_avg_signalstrength_dbm,Wifi Avg Signalstrength Dbm,Wifi Avg Signalstrength Dbm,KPI,dBm,double,#.##,wifi_avg_signalstrength_dbm,wifi_avg_signalstrength_dbm,avg({radio_interface.signal}),avg(radio_interface.signal)
WiFi,wc_streaming,meshRouter,wifi_min_signalstrength_dbm,Wifi Min Signalstrength Dbm,Wifi Min Signalstrength Dbm,KPI,dBm,double,#.##,wifi_min_signalstrength_dbm,wifi_min_signalstrength_dbm,min({radio_interface.signal}),min(radio_interface.signal)
WiFi,wc_streaming,meshRouter,wifi_max_signalstrength_dbm,Wifi Max Signalstrength Dbm,Wifi Max Signalstrength Dbm,KPI,dBm,double,#.##,wifi_max_signalstrength_dbm,wifi_max_signalstrength_dbm,max({radio_interface.signal}),max(radio_interface.signal)
WiFi,wc_streaming,meshRouter,wifi_device_associations,Wifi Device Associations,Wifi Device Associations,KPI,,integer,,wifi_device_associations,wifi_device_associations,sum({radio_interface.num_of_stas}),sum(radio_interface.num_of_stas)
WiFi,wc_streaming,meshRouter,wifi_ds_data_volume_mb,Wifi Ds Data Volume Mb,Wifi Ds Data Volume Mb,KPI,MB,bigint,,wifi_ds_data_volume_mb,wifi_ds_data_volume_mb,sum({sta_info.tx_bytes})/(1024 * 1024),sum(sta_info.tx_bytes)/(1024 * 1024)
WiFi,wc_streaming,meshRouter,wifi_us_data_volume_mb,Wifi Us Data Volume Mb,Wifi Us Data Volume Mb,KPI,MB,bigint,,wifi_us_data_volume_mb,wifi_us_data_volume_mb,sum({sta_info.rx_bytes})/(1024 * 1024),sum(sta_info.rx_bytes)/(1024 * 1024)
WiFi,wc_streaming,meshRouter,wifi_avg_assocdevice_txbitrate_mbps,Wifi Avg Assocdevice Txbitrate Mbps,Wifi Avg Assocdevice Txbitrate Mbps,KPI,Mbps,double,#.##,wifi_avg_assocdevice_txbitrate_mbps,wifi_avg_assocdevice_txbitrate_mbps,avg({sta_info.tx_bitrate}),avg(sta_info.tx_bitrate)
WiFi,wc_streaming,meshRouter,wifi_max_assocdevice_txbitrate_mbps,Wifi Max Assocdevice Txbitrate Mbps,Wifi Max Assocdevice Txbitrate Mbps,KPI,Mbps,integer,,wifi_max_assocdevice_txbitrate_mbps,wifi_max_assocdevice_txbitrate_mbps,max({sta_info.tx_bitrate}),max(sta_info.tx_bitrate)
WiFi,wc_streaming,meshRouter,wifi_min_assocdevice_txbitrate_mbps,Wifi Min Assocdevice Txbitrate Mbps,Wifi Min Assocdevice Txbitrate Mbps,KPI,Mbps,integer,,wifi_min_assocdevice_txbitrate_mbps,wifi_min_assocdevice_txbitrate_mbps,min({sta_info.tx_bitrate}),min(sta_info.tx_bitrate)
WiFi,wc_streaming,meshRouter,wifi_avg_assocdevice_rxbitrate_mbps,Wifi Avg Assocdevice Rxbitrate Mbps,Wifi Avg Assocdevice Rxbitrate Mbps,KPI,Mbps,double,#.##,wifi_avg_assocdevice_rxbitrate_mbps,wifi_avg_assocdevice_rxbitrate_mbps,avg({sta_info.rx_bitrate}),avg(sta_info.rx_bitrate)
WiFi,wc_streaming,meshRouter,wifi_max_assocdevice_rxbitrate_mbps,Wifi Max Assocdevice Rxbitrate Mbps,Wifi Max Assocdevice Rxbitrate Mbps,KPI,Mbps,integer,,wifi_max_assocdevice_rxbitrate_mbps,wifi_max_assocdevice_rxbitrate_mbps,max({sta_info.rx_bitrate}),max(sta_info.rx_bitrate)
WiFi,wc_streaming,meshRouter,wifi_min_assocdevice_rxbitrate_mbps,Wifi Min Assocdevice Rxbitrate Mbps,Wifi Min Assocdevice Rxbitrate Mbps,KPI,Mbps,integer,,wifi_min_assocdevice_rxbitrate_mbps,wifi_min_assocdevice_rxbitrate_mbps,min({sta_info.rx_bitrate}),min(sta_info.rx_bitrate)
WiFi,wc_streaming,meshRouter,wifi_avg_device_snr_db,Wifi Avg Device Snr Db,Wifi Avg Device Snr Db,KPI,,double,#.##,wifi_avg_device_snr_db,wifi_avg_device_snr_db,avg({radio_interface.signal} / {channel_info.noise}),avg(radio_interface.signal / channel_info.noise)
WiFi,wc_streaming,meshRouter,wifi_min_device_snr_db,Wifi Min Device Snr Db,Wifi Min Device Snr Db,KPI,,double,#.##,wifi_min_device_snr_db,wifi_min_device_snr_db,min({radio_interface.signal} / {channel_info.noise}),min(radio_interface.signal / channel_info.noise)
WiFi,wc_streaming,meshRouter,wifi_max_device_snr_db,Wifi Max Device Snr Db,Wifi Max Device Snr Db,KPI,,double,#.##,wifi_max_device_snr_db,wifi_max_device_snr_db,max({radio_interface.signal} / {channel_info.noise}),max(radio_interface.signal / channel_info.noise)
WiFi,wc_streaming,radioInterface,wifi_packetssend,Wifi Packetssend,Wifi Packetssend,KPI,,integer,,wifi_packetssend,wifi_packetssend,sum({radio_interface.tx_packets}),sum(radio_interface.tx_packets)
WiFi,wc_streaming,radioInterface,wifi_packetsreceived,Wifi Packetsreceived,Wifi Packetsreceived,KPI,,integer,,wifi_packetsreceived,wifi_packetsreceived,sum({radio_interface.rx_packets}),sum(radio_interface.rx_packets)
WiFi,wc_streaming,radioInterface,wifi_packets,Wifi Packets,Wifi Packets,KPI,,integer,,wifi_packets,wifi_packets,sum({radio_interface.tx_packets} + {radio_interface.rx_packets}),sum(radio_interface.tx_packets + radio_interface.rx_packets)
WiFi,wc_streaming,radioInterface,wifi_avg_errorrate,Wifi Avg Errorrate,Wifi Avg Errorrate,KPI,,double,#.##,wifi_avg_errorrate,wifi_avg_errorrate,avg({radio_interface.tx_per} + {radio_interface.rx_per}),avg(radio_interface.tx_per + radio_interface.rx_per)
WiFi,wc_streaming,radioInterface,wifi_avg_txpower,Wifi Avg Txpower,Wifi Avg Txpower,KPI,dBm,double,#.##,wifi_avg_txpower,wifi_avg_txpower,avg({radio_interface.tx_power}),avg(radio_interface.tx_power)
