domain,flow,monitoredPointType,insightId,insightName,description,category,unit,type,format,restName,physicalTarget,expression,translatedExpression
WiFi,wc_sliding_window,associatedDevice,samples_count,Samples Count,Samples Count,KPI,,integer,,samples_count,samples_count,count(distinct({ts})),count(distinct(ts))
WiFi,wc_sliding_window,associatedDevice,period,Period,Period,KPI,sec,bigint,,period,period,max({ts}) - min({ts}),max(ts) - min(ts)
WiFi,wc_sliding_window,associatedDevice,wifi_avg_throughput,Wifi Avg Throughput,Wifi Avg Throughput,KPI,Kbps,double,#.##,wifi_avg_throughput,wifi_avg_throughput,avg({sta_info.dl_throughput + sta_info.ul_throughput}),avg(sta_info.dl_throughput + sta_info.ul_throughput)
WiFi,wc_sliding_window,associatedDevice,wifi_avg_packets,Wifi Avg Packets,Wifi Avg Packets,KPI,,double,#.##,wifi_avg_packets,wifi_avg_packets,avg({sta_info.tx_packets + sta_info.rx_packets}),avg(sta_info.tx_packets + sta_info.rx_packets)
WiFi,wc_sliding_window,associatedDevice,wifi_avg_errorrate,Wifi Avg Errorrate,Wifi Avg Errorrate,KPI,,double,#.##,wifi_avg_errorrate,wifi_avg_errorrate,avg({sta_info.tx_per}),avg(sta_info.tx_per)
WiFi,wc_sliding_window,associatedDevice,wifi_assocdevice_stats_packetssent,Wifi Assocdevice Stats Packetssent,Wifi Assocdevice Stats Packetssent,KPI,,integer,,wifi_assocdevice_stats_packetssent,wifi_assocdevice_stats_packetssent,sum({sta_info.tx_packets}),sum(sta_info.tx_packets)
WiFi,wc_sliding_window,associatedDevice,wifi_assocdevice_stats_packetsreceived,Wifi Assocdevice Stats Packetsreceived,Wifi Assocdevice Stats Packetsreceived,KPI,,integer,,wifi_assocdevice_stats_packetsreceived,wifi_assocdevice_stats_packetsreceived,sum({sta_info.rx_packets}),sum(sta_info.rx_packets)
WiFi,wc_sliding_window,associatedDevice,wifi_assocdevice_assoctime,Wifi Assocdevice Assoctime,Wifi Assocdevice Assoctime,KPI,sec,double,#.##,wifi_assocdevice_assoctime,wifi_assocdevice_assoctime,avg({sta_info.assoc_time}),avg(sta_info.assoc_time)
WiFi,wc_sliding_window,associatedDevice,wifi_ds_data_volume_mb,Wifi Ds Data Volume Mb,Wifi Ds Data Volume Mb,KPI,MB,double,#.##,wifi_ds_data_volume_mb,wifi_ds_data_volume_mb,sum({sta_info.tx_bytes})/(1024 * 1024),sum(sta_info.tx_bytes)/(1024 * 1024)
WiFi,wc_sliding_window,associatedDevice,wifi_us_data_volume_mb,Wifi Us Data Volume Mb,Wifi Us Data Volume Mb,KPI,MB,double,#.##,wifi_us_data_volume_mb,wifi_us_data_volume_mb,sum({sta_info.rx_bytes})/(1024 * 1024),sum(sta_info.rx_bytes)/(1024 * 1024)
WiFi,wc_sliding_window,associatedDevice,wifi_avg_assocdevice_txbitrate_mbps,Wifi Avg Assocdevice Txbitrate Mbps,Wifi Avg Assocdevice Txbitrate Mbps,KPI,Mbps,double,#.##,wifi_avg_assocdevice_txbitrate_mbps,wifi_avg_assocdevice_txbitrate_mbps,avg({sta_info.tx_bitrate}),avg(sta_info.tx_bitrate)
WiFi,wc_sliding_window,associatedDevice,wifi_avg_assocdevice_rxbitrate_mbps,Wifi Avg Assocdevice Rxbitrate Mbps,Wifi Avg Assocdevice Rxbitrate Mbps,KPI,Mbps,double,#.##,wifi_avg_assocdevice_rxbitrate_mbps,wifi_avg_assocdevice_rxbitrate_mbps,avg({sta_info.rx_bitrate}),avg(sta_info.rx_bitrate)
WiFi,wc_sliding_window,associatedDevice,wifi_max_assocdevice_txbitrate_mbps,Wifi Max Assocdevice Txbitrate Mbps,Wifi Max Assocdevice Txbitrate Mbps,KPI,Mbps,integer,,wifi_max_assocdevice_txbitrate_mbps,wifi_max_assocdevice_txbitrate_mbps,max({sta_info.tx_bitrate}),max(sta_info.tx_bitrate)
WiFi,wc_sliding_window,associatedDevice,wifi_max_assocdevice_rxbitrate_mbps,Wifi Max Assocdevice Rxbitrate Mbps,Wifi Max Assocdevice Rxbitrate Mbps,KPI,Mbps,integer,,wifi_max_assocdevice_rxbitrate_mbps,wifi_max_assocdevice_rxbitrate_mbps,max({sta_info.rx_bitrate}),max(sta_info.rx_bitrate)
